player,opponent,rounds,player_score_per_turn,opponent_score_per_turn,player_cooperation
Mirror Neuron,Alternator,100,1.680000,3.630000,0.890000
Mirror Neuron,Defector,100,0.960000,1.160000,0.040000
Mirror Neuron,Grudger,100,0.980000,1.230000,0.060000
Mirror Neuron,Tit For Tat,100,2.990000,2.990000,0.990000
Mirror Neuron,Win-Stay Lose-Shift,100,3.000000,3.000000,1.000000
gemma3:4b,Alternator,30,1.500000,4.000000,1.000000
gemma3:4b,Defector,30,0.966667,1.133333,0.033333
gemma3:4b,Grudger,30,2.800000,2.758333,0.883333
gemma3:4b,Tit For Tat,30,2.800000,2.758333,0.883333
gemma3:4b,Win-Stay Lose-Shift,30,3.000000,2.708333,0.883333
mistral:7b,Alternator,30,1.500000,4.000000,1.000000
mistral:7b,Defector,30,0.408333,3.366667,0.591667
mistral:7b,Grudger,30,3.000000,3.000000,1.000000
mistral:7b,Tit For Tat,30,3.000000,3.000000,1.000000
mistral:7b,Win-Stay Lose-Shift,30,3.000000,3.000000,1.000000
phi3:mini,Alternator,30,1.983333,2.733333,0.650000
phi3:mini,Defector,30,0.416667,3.333333,0.583333
phi3:mini,Grudger,30,0.725000,3.350000,0.633333
phi3:mini,Tit For Tat,30,2.425000,2.383333,0.583333
phi3:mini,Win-Stay Lose-Shift,30,2.066667,2.650000,0.608333
qwen2.5:7b-instruct,Alternator,30,2.200000,2.366667,0.533333
qwen2.5:7b-instruct,Defector,30,0.950000,1.200000,0.050000
qwen2.5:7b-instruct,Grudger,30,3.000000,3.000000,1.000000
qwen2.5:7b-instruct,Tit For Tat,30,3.000000,3.000000,1.000000
qwen2.5:7b-instruct,Win-Stay Lose-Shift,30,3.000000,3.000000,1.000000
qwen3:8b,Alternator,30,3.000000,0.500000,0.000000
qwen3:8b,Defector,30,1.000000,1.000000,0.000000
qwen3:8b,Grudger,30,1.133333,0.966667,0.000000
qwen3:8b,Tit For Tat,30,1.133333,0.966667,0.000000
qwen3:8b,Win-Stay Lose-Shift,30,3.000000,0.500000,0.000000
