model,condition,opening,matches,cooperation_rate
gemma3:4b,with_cheap_talk,mutual_cooperation,4,1.000000
gemma3:4b,with_cheap_talk,mutual_defection,4,0.000000
gemma3:4b,with_cheap_talk,neutral,4,1.000000
gemma3:4b,without_cheap_talk,mutual_cooperation,4,0.758333
gemma3:4b,without_cheap_talk,mutual_defection,4,0.000000
gemma3:4b,without_cheap_talk,neutral,4,0.887500
mistral:7b,with_cheap_talk,mutual_cooperation,4,1.000000
mistral:7b,with_cheap_talk,mutual_defection,4,0.737500
mistral:7b,with_cheap_talk,neutral,4,1.000000
mistral:7b,without_cheap_talk,mutual_cooperation,4,1.000000
mistral:7b,without_cheap_talk,mutual_defection,4,0.991667
mistral:7b,without_cheap_talk,neutral,4,1.000000
phi3:mini,with_cheap_talk,mutual_cooperation,1,0.950000
phi3:mini,with_cheap_talk,mutual_defection,3,0.905556
phi3:mini,with_cheap_talk,neutral,1,1.000000
phi3:mini,without_cheap_talk,mutual_cooperation,3,0.572222
phi3:mini,without_cheap_talk,mutual_defection,3,0.544444
phi3:mini,without_cheap_talk,neutral,3,0.577778
qwen2.5:7b-instruct,with_cheap_talk,mutual_cooperation,4,1.000000
qwen2.5:7b-instruct,with_cheap_talk,mutual_defection,4,1.000000
qwen2.5:7b-instruct,with_cheap_talk,neutral,4,1.000000
qwen2.5:7b-instruct,without_cheap_talk,mutual_cooperation,4,1.000000
qwen2.5:7b-instruct,without_cheap_talk,mutual_defection,4,0.000000
qwen2.5:7b-instruct,without_cheap_talk,neutral,4,1.000000
qwen3:8b,with_cheap_talk,mutual_cooperation,4,1.000000
qwen3:8b,with_cheap_talk,mutual_defection,4,0.000000
qwen3:8b,with_cheap_talk,neutral,4,1.000000
qwen3:8b,without_cheap_talk,mutual_cooperation,4,1.000000
qwen3:8b,without_cheap_talk,mutual_defection,4,0.000000
qwen3:8b,without_cheap_talk,neutral,4,0.000000
