model,opening,condition,seats,cooperated_in_round_0
gemma3:4b,mutual_cooperation,with_cheap_talk,8,1.000000
gemma3:4b,mutual_cooperation,without_cheap_talk,8,1.000000
gemma3:4b,mutual_defection,with_cheap_talk,8,0.000000
gemma3:4b,mutual_defection,without_cheap_talk,8,0.000000
gemma3:4b,neutral,with_cheap_talk,8,1.000000
gemma3:4b,neutral,without_cheap_talk,8,1.000000
mistral:7b,mutual_cooperation,with_cheap_talk,8,1.000000
mistral:7b,mutual_cooperation,without_cheap_talk,8,1.000000
mistral:7b,mutual_defection,with_cheap_talk,8,0.750000
mistral:7b,mutual_defection,without_cheap_talk,8,1.000000
mistral:7b,neutral,with_cheap_talk,8,1.000000
mistral:7b,neutral,without_cheap_talk,8,1.000000
phi3:mini,mutual_cooperation,with_cheap_talk,2,0.000000
phi3:mini,mutual_cooperation,without_cheap_talk,6,0.500000
phi3:mini,mutual_defection,with_cheap_talk,6,0.666667
phi3:mini,mutual_defection,without_cheap_talk,6,0.333333
phi3:mini,neutral,with_cheap_talk,2,1.000000
phi3:mini,neutral,without_cheap_talk,6,1.000000
qwen2.5:7b-instruct,mutual_cooperation,with_cheap_talk,8,1.000000
qwen2.5:7b-instruct,mutual_cooperation,without_cheap_talk,8,1.000000
qwen2.5:7b-instruct,mutual_defection,with_cheap_talk,8,1.000000
qwen2.5:7b-instruct,mutual_defection,without_cheap_talk,8,0.000000
qwen2.5:7b-instruct,neutral,with_cheap_talk,8,1.000000
qwen2.5:7b-instruct,neutral,without_cheap_talk,8,1.000000
qwen3:8b,mutual_cooperation,with_cheap_talk,8,1.000000
qwen3:8b,mutual_cooperation,without_cheap_talk,8,1.000000
qwen3:8b,mutual_defection,with_cheap_talk,8,0.000000
qwen3:8b,mutual_defection,without_cheap_talk,8,0.000000
qwen3:8b,neutral,with_cheap_talk,8,1.000000
qwen3:8b,neutral,without_cheap_talk,8,0.000000
