model,opening,condition,matches,settled_on_mutual_cooperation,settled_on_mutual_defection,unsettled,mean_score_per_turn
gemma3:4b,mutual_cooperation,with_cheap_talk,4,4,0,0,3.000000
gemma3:4b,mutual_cooperation,without_cheap_talk,4,2,2,0,2.483333
gemma3:4b,mutual_defection,with_cheap_talk,4,0,4,0,1.000000
gemma3:4b,mutual_defection,without_cheap_talk,4,0,4,0,1.000000
gemma3:4b,neutral,with_cheap_talk,4,4,0,0,3.000000
gemma3:4b,neutral,without_cheap_talk,4,3,1,0,2.800000
mistral:7b,mutual_cooperation,with_cheap_talk,4,4,0,0,3.000000
mistral:7b,mutual_cooperation,without_cheap_talk,4,4,0,0,3.000000
mistral:7b,mutual_defection,with_cheap_talk,4,3,0,1,3.058333
mistral:7b,mutual_defection,without_cheap_talk,4,4,0,0,3.033333
mistral:7b,neutral,with_cheap_talk,4,4,0,0,3.000000
mistral:7b,neutral,without_cheap_talk,4,4,0,0,3.000000
phi3:mini,mutual_cooperation,with_cheap_talk,1,1,0,0,3.000000
phi3:mini,mutual_cooperation,without_cheap_talk,3,0,0,3,2.466667
phi3:mini,mutual_defection,with_cheap_talk,3,2,0,1,3.066667
phi3:mini,mutual_defection,without_cheap_talk,3,0,0,3,1.833333
phi3:mini,neutral,with_cheap_talk,1,1,0,0,3.000000
phi3:mini,neutral,without_cheap_talk,3,0,0,3,2.555556
qwen2.5:7b-instruct,mutual_cooperation,with_cheap_talk,4,4,0,0,3.000000
qwen2.5:7b-instruct,mutual_cooperation,without_cheap_talk,4,4,0,0,3.000000
qwen2.5:7b-instruct,mutual_defection,with_cheap_talk,4,4,0,0,3.000000
qwen2.5:7b-instruct,mutual_defection,without_cheap_talk,4,0,4,0,1.000000
qwen2.5:7b-instruct,neutral,with_cheap_talk,4,4,0,0,3.000000
qwen2.5:7b-instruct,neutral,without_cheap_talk,4,4,0,0,3.000000
qwen3:8b,mutual_cooperation,with_cheap_talk,4,4,0,0,3.000000
qwen3:8b,mutual_cooperation,without_cheap_talk,4,4,0,0,3.000000
qwen3:8b,mutual_defection,with_cheap_talk,4,0,4,0,1.000000
qwen3:8b,mutual_defection,without_cheap_talk,4,0,4,0,1.000000
qwen3:8b,neutral,with_cheap_talk,4,4,0,0,3.000000
qwen3:8b,neutral,without_cheap_talk,4,0,4,0,1.000000
