model,opening,condition,matches,settled_cooperative,mean_round_settled_cooperative,settled_defective,mean_round_settled_defective,unsettled
gemma3:4b,mutual_cooperation,with_cheap_talk,4,4,0.000000,0,nan,0
gemma3:4b,mutual_cooperation,without_cheap_talk,4,2,0.000000,2,16.000000,0
gemma3:4b,mutual_defection,with_cheap_talk,4,0,nan,4,0.000000,0
gemma3:4b,mutual_defection,without_cheap_talk,4,0,nan,4,0.000000,0
gemma3:4b,neutral,with_cheap_talk,4,4,0.000000,0,nan,0
gemma3:4b,neutral,without_cheap_talk,4,3,0.000000,1,17.000000,0
mistral:7b,mutual_cooperation,with_cheap_talk,4,4,0.000000,0,nan,0
mistral:7b,mutual_cooperation,without_cheap_talk,4,4,0.000000,0,nan,0
mistral:7b,mutual_defection,with_cheap_talk,4,3,11.666667,0,nan,1
mistral:7b,mutual_defection,without_cheap_talk,4,4,2.250000,0,nan,0
mistral:7b,neutral,with_cheap_talk,4,4,0.000000,0,nan,0
mistral:7b,neutral,without_cheap_talk,4,4,0.000000,0,nan,0
phi3:mini,mutual_cooperation,with_cheap_talk,1,1,2.000000,0,nan,0
phi3:mini,mutual_cooperation,without_cheap_talk,3,0,nan,0,nan,3
phi3:mini,mutual_defection,with_cheap_talk,3,2,4.000000,0,nan,1
phi3:mini,mutual_defection,without_cheap_talk,3,0,nan,0,nan,3
phi3:mini,neutral,with_cheap_talk,1,1,0.000000,0,nan,0
phi3:mini,neutral,without_cheap_talk,3,0,nan,0,nan,3
qwen2.5:7b-instruct,mutual_cooperation,with_cheap_talk,4,4,0.000000,0,nan,0
qwen2.5:7b-instruct,mutual_cooperation,without_cheap_talk,4,4,0.000000,0,nan,0
qwen2.5:7b-instruct,mutual_defection,with_cheap_talk,4,4,0.000000,0,nan,0
qwen2.5:7b-instruct,mutual_defection,without_cheap_talk,4,0,nan,4,0.000000,0
qwen2.5:7b-instruct,neutral,with_cheap_talk,4,4,0.000000,0,nan,0
qwen2.5:7b-instruct,neutral,without_cheap_talk,4,4,0.000000,0,nan,0
qwen3:8b,mutual_cooperation,with_cheap_talk,4,4,0.000000,0,nan,0
qwen3:8b,mutual_cooperation,without_cheap_talk,4,4,0.000000,0,nan,0
qwen3:8b,mutual_defection,with_cheap_talk,4,0,nan,4,0.000000,0
qwen3:8b,mutual_defection,without_cheap_talk,4,0,nan,4,0.000000,0
qwen3:8b,neutral,with_cheap_talk,4,4,0.000000,0,nan,0
qwen3:8b,neutral,without_cheap_talk,4,0,nan,4,0.000000,0
